,CNES,TPGESTAO,SGRUPHAB
907,2439360,Municipal,1708
908,2439360,Municipal,1723
909,2442108,Municipal,1707
910,2448521,Municipal,1706
911,2465833,Estadual,1706
912,2465833,Municipal,1706
913,2491710,Dupla,1706
914,2491710,Estadual,1706
915,2494442,Dupla,1708
916,2494442,Estadual,1708
917,2494442,Estadual,1717
918,2497654,Dupla,1708
919,2497654,Dupla,1718
920,2497654,Dupla,1723
921,2497654,Municipal,1708
922,2497654,Municipal,1717
923,2497654,Municipal,1718
924,2497654,Municipal,1723
925,2504332,Dupla,1706
926,2504332,Dupla,1707
927,2504332,Dupla,1723
928,2504332,Municipal,1706
929,2504332,Municipal,1707
930,2504332,Municipal,1723
931,2506815,Municipal,1702
932,2506815,Municipal,1713
933,2506815,Municipal,1717
934,2506815,Municipal,1722
935,2515377,Estadual,1704
936,2515377,Estadual,1705
937,2515377,Estadual,1715
938,2515377,Estadual,1716
939,2521792,Municipal,1706
940,2521792,Municipal,1723
941,2522691,Municipal,1706
942,2522691,Municipal,1707
943,2522691,Municipal,1718
944,2522691,Municipal,1723
945,2525569,Dupla,1707
946,2525569,Dupla,1714
947,2525569,Dupla,1715
948,2525569,Dupla,1718
949,2525569,Municipal,1701
950,2525569,Municipal,1707
951,2525569,Municipal,1714
952,2525569,Municipal,1715
953,2528843,Municipal,1714
954,2528843,Municipal,1718
955,2528843,Municipal,1723
956,2531348,Estadual,1706
957,2531348,Estadual,1715
958,2531348,Estadual,1718
959,2534444,Municipal,1701
960,2534444,Municipal,1707
961,2534444,Municipal,1708
962,2534444,Municipal,1709
963,2534444,Municipal,1717
964,2537788,Dupla,1707
965,2537788,Dupla,1708
966,2537788,Municipal,1701
967,2537788,Municipal,1707
968,2537788,Municipal,1708
969,2537788,Municipal,1717
970,2537788,Municipal,1723
971,2543044,Dupla,1706
972,2543044,Estadual,1706
973,2543044,Estadual,1723
974,2547821,Dupla,1701
975,2547821,Dupla,1707
976,2547821,Dupla,1708
977,2547821,Estadual,1707
978,2547821,Estadual,1708
979,2558246,Municipal,1701
980,2558246,Municipal,1706
981,2558246,Municipal,1707
982,2558254,Municipal,1706
983,2558254,Municipal,1707
984,2558254,Municipal,1708
985,2558254,Municipal,1709
986,2558254,Municipal,1718
987,2558254,Municipal,1723
988,2560771,Dupla,1706
989,2560771,Estadual,1706
990,2560771,Estadual,1717
991,2560771,Estadual,1718
992,2560771,Estadual,1723
993,2561379,Dupla,1719
994,2561379,Dupla,1720
995,2561379,Municipal,1719
996,2561379,Municipal,1720
997,2561492,Municipal,1701
998,2561492,Municipal,1708
999,2561492,Municipal,1723
1000,2563681,Dupla,1711
1001,2563681,Municipal,1701
1002,2563681,Municipal,1711
1003,2563681,S,1711
1004,2564211,Municipal,1701
1005,2564211,Municipal,1706
1006,2564211,Municipal,1707
1007,2564211,Municipal,1708
1008,2568713,Municipal,1706
1009,2568713,Municipal,1723
