CNES,TPGESTAO,SGRUPHAB
2273454,M,1713
2273454,M,1714
2273454,M,1717
2273454,M,1722
2273462,M,1703
2273462,M,1707
2273462,M,1713
2273462,M,1717
2273659,M,1709
2273659,M,1723
2273748,M,1706
2273748,M,1708
2273748,M,1723
2275562,M,1706
2275562,M,1715
2278286,D,1706
2278286,M,1706
2278286,M,1707
2278855,E,1706
2278855,E,1707
2278855,E,1708
2278855,E,1709
2278855,M,1701
2278855,M,1706
2278855,M,1707
2278855,M,1708
2278855,M,1709
2280051,M,1706
2280051,M,1707
2280051,M,1708
2280167,M,1701
2280167,M,1707
2280167,M,1708
2280167,M,1712
2280167,M,1723
2287250,D,1706
2287250,M,1706
2287285,D,1707
2287285,E,1701
2287285,E,1707
2287285,M,1707
2287447,D,1706
2287447,M,1706
2287447,M,1707
2292386,M,1705
2292386,M,1706
2295067,E,1710
2295067,M,1701
2295067,M,1710
2295415,M,1701
2295415,M,1706
2295415,M,1723
2295423,M,1706
2296241,M,1706
2296616,M,1701
2296616,M,1711
2301318,D,1706
2301318,D,1723
2301318,M,1706
2306336,D,1706
2306336,M,1706
2306336,M,1707
2315793,M,1701
2315793,M,1707
2319659,E,1706
2332981,M,1706
2332981,M,1723
2334321,E,1713
2334321,E,1717
2334321,E,1723
2334321,M,1701
2334321,M,1713
2334321,M,1717
2338351,M,1701
2338351,M,1706
2338351,M,1707
2338351,M,1708
2338351,M,1717
2338351,M,1718
2338424,M,1701
2338424,M,1706
2338424,M,1708
2339099,M,1705
2361787,M,1706
2371375,M,1701
2371375,M,1705
2371375,M,1707
2371707,D,1706
2376334,M,1706
2384299,D,1701
2384299,D,1708
2384299,D,1709
2384299,D,1718
2384299,D,1723
2384299,M,1701
2396866,M,1706
2399741,M,1702
2399741,M,1713
2399741,M,1717
2399776,M,1706
2402076,D,1706
2402076,D,1715
2402076,E,1706
2402076,E,1715
2402076,E,1722
2407205,D,1707
2407205,M,1707
2409151,D,1705
2409151,D,1711
2409194,D,1702
2409194,D,1713
2409194,D,1717
2409194,D,1722
2410265,D,1705
2410265,D,1706
2410265,D,1707
2410265,D,1718
2410265,M,1706
2410265,M,1718
2427419,E,1707
2427419,E,1723
2427427,D,1701
2427427,D,1706
2427427,E,1706
2427427,E,1717
2427427,E,1723
2430711,D,1706
2430711,E,1706
2430711,M,1706
2430843,E,1704
2436469,D,1704
2436469,D,1705
2436469,D,1712
2436469,M,1701
2436469,M,1704
2436469,M,1705
2436469,M,1712
2436469,M,1717
2436469,M,1718
2439360,M,1706
2439360,M,1707
2439360,M,1708
2439360,M,1723
2442108,M,1707
2448521,M,1706
2465833,E,1706
2465833,M,1706
2491710,D,1706
2491710,E,1706
2494442,D,1708
2494442,E,1708
2494442,E,1717
2497654,D,1708
2497654,D,1718
2497654,D,1723
2497654,M,1708
2497654,M,1717
2497654,M,1718
2497654,M,1723
2504332,D,1706
2504332,D,1707
2504332,D,1723
2504332,M,1706
2504332,M,1707
2504332,M,1723
2506815,M,1702
2506815,M,1713
2506815,M,1717
2506815,M,1722
2515377,E,1704
2515377,E,1705
2515377,E,1715
2515377,E,1716
2521792,M,1706
2521792,M,1723
2522691,M,1706
2522691,M,1707
2522691,M,1718
2522691,M,1723
2525569,D,1707
2525569,D,1714
2525569,D,1715
2525569,D,1718
2525569,M,1701
2525569,M,1707
2525569,M,1714
2525569,M,1715
2528843,M,1714
2528843,M,1718
2528843,M,1723
2531348,E,1706
2531348,E,1715
2531348,E,1718
2534444,M,1701
2534444,M,1707
2534444,M,1708
2534444,M,1709
2534444,M,1717
2537788,D,1707
2537788,D,1708
2537788,M,1701
2537788,M,1707
2537788,M,1708
2537788,M,1717
2537788,M,1723
2543044,D,1706
2543044,E,1706
2543044,E,1723
2547821,D,1701
2547821,D,1707
2547821,D,1708
2547821,E,1707
2547821,E,1708
2558246,M,1701
2558246,M,1706
2558246,M,1707
2558254,M,1706
2558254,M,1707
2558254,M,1708
2558254,M,1709
2558254,M,1718
2558254,M,1723
2560771,D,1706
2560771,E,1706
2560771,E,1717
2560771,E,1718
2560771,E,1723
2561379,D,1719
2561379,D,1720
2561379,M,1719
2561379,M,1720
2561492,M,1701
2561492,M,1708
2561492,M,1723
2563681,D,1711
2563681,M,1701
2563681,M,1711
2563681,S,1711
2564211,M,1701
2564211,M,1706
2564211,M,1707
2564211,M,1708
2568713,M,1706
2568713,M,1723
2576341,D,1706
2576341,D,1708
2576341,D,1723
2577623,D,1712
2577623,D,1713
2577623,D,1717
2577623,M,1701
2577623,M,1712
2577623,M,1717
2586169,M,1701
2586169,M,1707
2586169,M,1708
2586169,M,1717
2586169,M,1723
2586797,M,1704
2586797,M,1715
2591049,D,1701
2591049,D,1704
2591049,D,1712
2591049,E,1712
2591049,E,1718
2591049,M,1712
2591049,M,1718
2594366,M,1706
2600536,E,1701
2600536,E,1707
2600536,E,1719
2601680,D,1707
2601680,D,1708
2601680,D,1717
2601680,M,1708
2605473,E,1706
2611686,M,1701
2611686,M,1706
2611686,M,1718
2611686,M,1723
2639009,D,1706
2646536,E,1708
2646536,E,1723
2646536,M,1708
2649527,E,1705
2649527,E,1716
2651394,M,1701
2651394,M,1706
2651394,M,1707
2651394,M,1717
2651394,M,1723
2653982,D,1706
2653982,M,1706
2655519,M,1701
2655519,M,1707
2655519,M,1709
2656930,D,1706
2656930,M,1706
2659107,D,1708
2659107,M,1701
